Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Times Repeated, Precision, Best Precision, Recall, Best Recall, Fmeasure, Best Fmeasure, AdjustedPrecision, Best AdjustedPrecision, AverageClusterPrecision, Best AverageClusterPrecision, AverageClusterRecall, Best AverageClusterRecall, AverageClusterAdjustedPrecision, Best AverageClusterAdjustedPrecision, MojoFM, Best MojoFM, SilhuetteIndex, Best SilhuetteIndex, NonExtremityClusterDistributionL5U100, Best NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, Best IntraSimilarityReg1.0, IntraSimilarityReg2.0, Best IntraSimilarityReg2.0, IntraSimilarityReg3.0, Best IntraSimilarityReg3.0, IntraSimilarityReg4.0, Best IntraSimilarityReg4.0, IntraSimilarityReg5.0, Best IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, Best IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Best AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
31, TermFrequencyWeight, 0.0, 1, 1, CosineDistance, 10, 0.44125128, 0.5678631 (10), 0.27414984, 0.35168555 (10), 0.33757037, 0.43436366 (10), 0.6691183, 0.7585502 (10), 0.37906724, 0.45789245 (10), 0.2785875, 0.3100354 (10), 0.5992163, 0.64357805 (10), 52.058826, 57.48663 (10), -0.012786713, -0.007772951 (10), 0.92563456, 0.9568528 (10), 0.5715598, 0.6070672 (10), 0.35018912, 0.37133354 (10), 0.21671014, 0.22890022 (10), 0.13549435, 0.14384374 (10), 0.0856145, 0.092492156 (10), -0.25093725, -0.23812899 (10), -0.27447936, -0.23757394 (10), 11042, 
31, TermFrequencyWeight, 0.0, 1, 2, CosineDistance, 10, 0.39627197, 0.50089216 (10), 0.23203298, 0.29486236 (10), 0.29138178, 0.36684984 (10), 0.6544711, 0.7192484 (10), 0.4008557, 0.45494813 (10), 0.26187024, 0.32167724 (10), 0.6174254, 0.65363836 (10), 50.90909, 54.010696 (10), -0.0150716575, -0.009958743 (10), 0.922335, 0.964467 (10), 0.5865855, 0.60406053 (10), 0.36150748, 0.37516835 (10), 0.22507897, 0.2414866 (10), 0.14161244, 0.15924585 (10), 0.09005901, 0.106951445 (10), -0.23933545, -0.22388628 (10), -0.27907926, -0.25353327 (10), 11428, 
31, TermFrequencyWeight, 0.0, 2, 0, CosineDistance, 10, 0.52693397, 0.58357537 (10), 0.3191226, 0.36876196 (10), 0.39660454, 0.42978466 (10), 0.7209113, 0.7577546 (10), 0.3943462, 0.48908243 (10), 0.30542284, 0.37164456 (10), 0.62140596, 0.69356745 (10), 54.171124, 58.02139 (10), -0.014937055, -0.0073020007 (10), 0.9401016, 0.97969544 (10), 0.57809365, 0.5992927 (10), 0.35474747, 0.3747616 (10), 0.22003846, 0.2368248 (10), 0.13803959, 0.15134463 (10), 0.08763628, 0.09787288 (10), -0.27223393, -0.25957873 (10), -0.25924894, -0.20492388 (10), 10682, 
31, TermFrequencyWeight, 0.0, 2, 1, CosineDistance, 10, 0.45257068, 0.56856835 (10), 0.27512145, 0.38878256 (10), 0.3414595, 0.46179402 (10), 0.66735125, 0.7574156 (10), 0.3772193, 0.44837993 (10), 0.28428882, 0.36421323 (10), 0.59976256, 0.6517485 (10), 52.727272, 57.75401 (10), -0.015164453, -0.010121279 (10), 0.93883246, 0.9492386 (10), 0.5732374, 0.6164643 (10), 0.35107532, 0.38393816 (10), 0.21716109, 0.24161997 (10), 0.13569704, 0.15366262 (10), 0.08567621, 0.0987605 (10), -0.24933621, -0.23336233 (10), -0.27590278, -0.2447104 (10), 10537, 
31, TermFrequencyWeight, 0.0, 2, 2, CosineDistance, 10, 0.41267306, 0.5196169 (10), 0.23945239, 0.27763873 (10), 0.30197972, 0.33689293 (10), 0.66029185, 0.7285633 (10), 0.3817752, 0.47048172 (10), 0.2661832, 0.3239918 (10), 0.5886017, 0.63613755 (10), 51.497326, 54.010696 (10), -0.016623825, -0.011228112 (10), 0.92385787, 0.9593909 (10), 0.5777136, 0.6024342 (10), 0.35026634, 0.37220842 (10), 0.21428278, 0.2344455 (10), 0.13229838, 0.14938186 (10), 0.082447104, 0.09638664 (10), -0.24054793, -0.21300326 (10), -0.26811406, -0.2259968 (10), 10935, 
31, TermFrequencyWeight, 0.25, 0, 0, CosineDistance, 10, 0.4421969, 0.5420402 (10), 0.29801267, 0.37656412 (10), 0.35494208, 0.42410675 (10), 0.6627878, 0.7255288 (10), 0.44100347, 0.5135061 (10), 0.32736084, 0.39781553 (10), 0.63376474, 0.7061653 (10), 52.566845, 55.61497 (10), -0.026144598, -0.014721123 (10), 0.92791873, 0.96192896 (10), 0.65180975, 0.6993584 (10), 0.47013673, 0.50914645 (10), 0.34140792, 0.37352428 (10), 0.24965425, 0.27620876 (10), 0.18385765, 0.205912 (10), -0.17568344, -0.14639698 (10), -0.21464331, -0.18235128 (10), 10871, 
31, TermFrequencyWeight, 0.25, 0, 1, CosineDistance, 10, 0.47157678, 0.54966116 (10), 0.33210656, 0.4090976 (10), 0.3889858, 0.4562469 (10), 0.68377006, 0.74703795 (10), 0.41004658, 0.48821548 (10), 0.29485708, 0.33978853 (10), 0.6041102, 0.67427397 (10), 53.128345, 57.219254 (10), -0.018769125, -0.012202137 (10), 0.90482235, 0.9467005 (10), 0.6465942, 0.69201493 (10), 0.45765752, 0.4859758 (10), 0.32603186, 0.35311526 (10), 0.23379984, 0.2580091 (10), 0.16879088, 0.1895946 (10), -0.18377367, -0.17142281 (10), -0.22038086, -0.1722925 (10), 11408, 
31, TermFrequencyWeight, 0.25, 0, 2, CosineDistance, 10, 0.3946734, 0.4546006 (10), 0.24538496, 0.3309289 (10), 0.30134672, 0.38302946 (10), 0.6292492, 0.700491 (10), 0.38800055, 0.4925873 (10), 0.2720526, 0.31513056 (10), 0.59388596, 0.70060515 (10), 51.31016, 55.88235 (10), -0.021956366, -0.012167667 (10), 0.9291878, 0.9467005 (10), 0.64960325, 0.7022125 (10), 0.4602066, 0.4955364 (10), 0.3280204, 0.35134843 (10), 0.23521666, 0.25025025 (10), 0.1696773, 0.17902173 (10), -0.16869122, -0.14500932 (10), -0.23044471, -0.19004358 (10), 11506, 
31, TermFrequencyWeight, 0.25, 1, 0, CosineDistance, 10, 0.48235774, 0.54584754 (10), 0.33591935, 0.4018843 (10), 0.39552206, 0.45236126 (10), 0.6807437, 0.7298874 (10), 0.39590946, 0.4539537 (10), 0.31287527, 0.36392435 (10), 0.614544, 0.6511907 (10), 52.941174, 58.556152 (10), -0.026944827, -0.01677521 (10), 0.9121827, 0.9390863 (10), 0.6723033, 0.70806605 (10), 0.48492327, 0.5253462 (10), 0.35237303, 0.39565876 (10), 0.25805888, 0.30278626 (10), 0.19054773, 0.23566522 (10), -0.17984352, -0.16936715 (10), -0.20936067, -0.18434584 (10), 11492, 
31, TermFrequencyWeight, 0.25, 1, 1, CosineDistance, 10, 0.43966174, 0.47729766 (10), 0.29456794, 0.3550714 (10), 0.35197654, 0.4051398 (10), 0.66091603, 0.69109625 (10), 0.41101837, 0.4693597 (10), 0.29077163, 0.32330513 (10), 0.6253394, 0.6607594 (10), 52.99465, 55.08021 (10), -0.018751632, -0.01219526 (10), 0.9243655, 0.9543147 (10), 0.6611875, 0.6968804 (10), 0.46979713, 0.48895442 (10), 0.33559567, 0.34884006 (10), 0.24102435, 0.25026578 (10), 0.17404307, 0.18289804 (10), -0.17830792, -0.16900712 (10), -0.21835855, -0.1757433 (10), 11017, 
