Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Topics Number, Closest Centroids Init, Precision, Recall, Fmeasure, AdjustedPrecision, AverageClusterPrecision, AverageClusterRecall, AverageClusterAdjustedPrecision, MojoFM, SilhuetteIndex, NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, IntraSimilarityReg2.0, IntraSimilarityReg3.0, IntraSimilarityReg4.0, IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 65, 1, 0.6016399, 0.5184749, 0.55697, 0.80839956, 0.37313637, 0.48403767, 0.6202481, 56.95187, -0.008377759, 0.92385787, 0.43813458, 0.23990421, 0.13830629, 0.084003255, 0.053565875, -0.2062133, -0.4079897, 1747, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 65, 2, 0.49815044, 0.53525686, 0.5160374, 0.7158613, 0.33049512, 0.51366186, 0.5370979, 54.812836, -0.010914527, 0.89086294, 0.41147697, 0.22547778, 0.12765576, 0.07477318, 0.045327585, -0.16450611, -0.470028, 1739, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 70, 1, 0.5654442, 0.51067275, 0.5366646, 0.7509758, 0.3380302, 0.48612067, 0.6015587, 54.812836, -0.008228656, 0.9213198, 0.4215022, 0.23113742, 0.13370763, 0.08169236, 0.052528843, -0.19765629, -0.42988315, 1611, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 70, 2, 0.5773047, 0.5309878, 0.5531784, 0.7974953, 0.33719495, 0.48748347, 0.5438537, 56.95187, -0.00995397, 0.9187817, 0.41399324, 0.21900414, 0.11994311, 0.06828567, 0.040517997, -0.19300899, -0.4216772, 1878, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 75, 1, 0.62269765, 0.4927131, 0.55013144, 0.79535764, 0.3979606, 0.43876725, 0.637694, 54.010696, -0.0033774527, 0.92385787, 0.44611225, 0.22927201, 0.123925425, 0.07104767, 0.04334166, -0.22102384, -0.3180121, 1716, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 75, 2, 0.58659965, 0.5155307, 0.54877377, 0.80014765, 0.32558486, 0.49694547, 0.52234894, 53.47594, -0.007908913, 0.93654823, 0.38630906, 0.19935344, 0.1071367, 0.06032209, 0.03570469, -0.20064136, -0.42111444, 2268, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 80, 1, 0.63382596, 0.5114088, 0.5660746, 0.7996246, 0.3619064, 0.44719878, 0.56436974, 55.08021, -0.0044665555, 0.92893404, 0.42326835, 0.22251353, 0.122897014, 0.071738735, 0.04431502, -0.22086535, -0.38236538, 1527, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 80, 2, 0.6477673, 0.5146474, 0.5735849, 0.82107735, 0.36930817, 0.44973028, 0.5863697, 58.02139, -0.0047456035, 0.92385787, 0.41540074, 0.21191357, 0.11223817, 0.062195074, 0.036258843, -0.22144501, -0.37078515, 1825, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 85, 1, 0.6156096, 0.49580452, 0.5492498, 0.77274245, 0.35311458, 0.4580589, 0.5840001, 55.61497, -0.002977477, 0.9162437, 0.4207735, 0.2073639, 0.1049456, 0.054996584, 0.030111114, -0.22302589, -0.32933626, 1619, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 85, 2, 0.6426497, 0.5212719, 0.575632, 0.8061813, 0.38640922, 0.49479145, 0.59059083, 57.75401, -0.0033983164, 0.9467005, 0.40980044, 0.20394221, 0.103933536, 0.054592848, 0.02976249, -0.21942967, -0.36344868, 2260, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 90, 1, 0.65642345, 0.48741353, 0.55943227, 0.80317926, 0.3545761, 0.50035673, 0.6193215, 56.95187, -0.0030189487, 0.94162434, 0.43556663, 0.21135968, 0.10321815, 0.050734755, 0.025102211, -0.23431869, -0.30667198, 1725, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 90, 2, 0.6653764, 0.50610924, 0.5749164, 0.8170921, 0.41956952, 0.51961076, 0.64627177, 58.823524, -0.00363478, 0.9467005, 0.43032673, 0.20690535, 0.10041666, 0.049198627, 0.024334593, -0.2296836, -0.2957588, 2401, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 95, 1, 0.61244273, 0.511556, 0.5574717, 0.77298445, 0.4509821, 0.49261653, 0.67632896, 57.219254, -0.004461272, 0.9035533, 0.45413706, 0.2247817, 0.11407288, 0.05977568, 0.032602515, -0.21750642, -0.2856272, 1855, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 95, 2, 0.66553855, 0.49212426, 0.5658429, 0.825879, 0.39920834, 0.48156556, 0.61175805, 57.75401, -0.0022824772, 0.9517766, 0.41592225, 0.20016627, 0.09711398, 0.047511738, 0.02344399, -0.23242745, -0.32275093, 2893, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 100, 1, 0.6218869, 0.5036067, 0.55653167, 0.7674851, 0.37481788, 0.4542148, 0.5993852, 56.417114, -0.003986642, 0.92893404, 0.4149067, 0.19903594, 0.09615378, 0.04678042, 0.02292032, -0.21948142, -0.32036346, 1907, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 100, 2, 0.50940365, 0.32695422, 0.39827847, 0.73313993, 0.45969272, 0.5048648, 0.69620913, 56.684494, -0.008215411, 0.9390863, 0.45937234, 0.21991368, 0.106213346, 0.05176989, 0.025470935, -0.22011115, -0.24264248, 3143, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 105, 1, 0.6316679, 0.49506846, 0.55508786, 0.7783787, 0.40372145, 0.5077746, 0.6034504, 56.95187, -0.0054859933, 0.9467005, 0.42697993, 0.20380339, 0.09830119, 0.047953863, 0.023680398, -0.225498, -0.28831324, 2962, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 105, 2, 0.5955208, 0.32489327, 0.42042097, 0.78607523, 0.452159, 0.48624223, 0.6687483, 58.823524, -0.0088715255, 0.9492386, 0.4476079, 0.21586634, 0.10498721, 0.051521476, 0.025524877, -0.24365687, -0.27392244, 3250, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 110, 1, 0.63463706, 0.49683496, 0.55734456, 0.7656971, 0.4120794, 0.47276524, 0.6059858, 57.75401, -0.0055483202, 0.93147206, 0.42893246, 0.20535925, 0.09913496, 0.048256416, 0.023686415, -0.22297306, -0.29233995, 2508, 
