Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Closest Centroids Init, Precision, Recall, Fmeasure, AdjustedPrecision, AverageClusterPrecision, AverageClusterRecall, AverageClusterAdjustedPrecision, MojoFM, SilhuetteIndex, NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, IntraSimilarityReg2.0, IntraSimilarityReg3.0, IntraSimilarityReg4.0, IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
31, LogWeight EntropyWeight, 0.0, 1, 2, CosineDistance, 1, 0.31024054, 0.33225378, 0.32087004, 0.6215684, 0.3919217, 0.35944262, 0.49476978, 48.39572, -0.016350748, 0.94162434, 0.5077094, 0.3815747, 0.2875922, 0.21738769, 0.16480887, -0.13118337, -0.28281784, 1075, 
31, LogWeight EntropyWeight, 0.0, 1, 2, ModifiedCosineDistance, 1, 0.2851638, 0.32680702, 0.30456856, 0.56997865, 0.34243685, 0.35437858, 0.4394092, 46.791447, -0.018992964, 0.94162434, 0.5143489, 0.4115771, 0.33054864, 0.26643598, 0.21552701, -0.15582357, -0.27421325, 56267, 
31, LogWeight EntropyWeight, 0.0, 1, 2, DotDistance, 1, 0.08514027, 0.9364051, 0.15608858, 0.3001464, 0.0200436, 0.8575461, 0.027724553, 17.379677, 9.370944E-4, 0.017766498, 0.064985745, 0.059141185, 0.053837847, 0.049024243, 0.0446539, 0.046716493, 0.0021215675, 83605, 
31, LogWeight EntropyWeight, 0.0, 1, 2, EllenbergDistance, 1, 0.08457155, 0.46754012, 0.14323403, 0.29846352, 0.04410669, 0.55474854, 0.067608014, 18.98396, -0.13998158, 0.060913704, 0.032855447, 0.008365232, 0.0021286723, 5.4171984E-4, 1.3785028E-4, -1.9481652E-6, -0.044136666, 42413, 
31, LogWeight EntropyWeight, 0.0, 1, 2, UnbiasedEllenbergDistance, 1, 0.087741055, 1.0, 0.16132711, 0.29577824, 0.0028303566, 0.87096775, 0.009541234, 17.647058, NaN, 0.0, 0.10958429, 0.56741273, 4.9856343, 86.11701, 3583.5566, NaN, -0.092783354, 4934, 
31, LogWeight EntropyWeight, 0.0, 2, 0, CosineDistance, 1, 0.2623617, 0.3421169, 0.29697785, 0.5380712, 0.3656215, 0.38851932, 0.5006439, 47.593582, -0.01201083, 0.92639595, 0.49271622, 0.37726828, 0.2896368, 0.22296324, 0.17211384, -0.118127726, -0.28019685, 1223, 
31, LogWeight EntropyWeight, 0.0, 2, 0, ModifiedCosineDistance, 1, 0.34535462, 0.3792139, 0.36149314, 0.6415039, 0.32192293, 0.41159943, 0.45371142, 48.930485, -0.013783063, 0.9467005, 0.5151918, 0.4173681, 0.34130886, 0.28096142, 0.23246773, -0.14589477, -0.24892403, 56410, 
31, LogWeight EntropyWeight, 0.0, 2, 0, DotDistance, 1, 0.08795503, 0.9973502, 0.16165401, 0.29705393, 0.0032575936, 0.8675722, 0.011001998, 17.914438, 0.0015468854, 0.0, 0.033581275, 0.030447952, 0.027606988, 0.025031101, 0.022695558, 0.0635826, 0.0010820656, 84662, 
31, LogWeight EntropyWeight, 0.0, 2, 0, EllenbergDistance, 1, 0.08201095, 0.52038866, 0.14169188, 0.3025495, 0.07217057, 0.5675763, 0.09218913, 17.647058, -0.11723542, 0.26903552, 0.040989067, 0.010413629, 0.002644172, 6.712315E-4, 1.7031797E-4, 1.4578119E-6, -0.08844262, 258062, 
31, LogWeight EntropyWeight, 0.0, 2, 0, UnbiasedEllenbergDistance, 1, 0.087741055, 1.0, 0.16132711, 0.29577824, 0.0028303566, 0.87096775, 0.009541234, 17.647058, NaN, 0.0, 1.2798427E21, Infinity, 6.2E-44, 7.927162E-33, 2.0294631E-29, NaN, 0.30299443, 4967, 
