Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Topics Number, Closest Centroids Init, Precision, Recall, Fmeasure, AdjustedPrecision, AverageClusterPrecision, AverageClusterRecall, AverageClusterAdjustedPrecision, MojoFM, SilhuetteIndex, NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, IntraSimilarityReg2.0, IntraSimilarityReg3.0, IntraSimilarityReg4.0, IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 1, CosineDistance, 20, 1, 0.32573727, 0.5612009, 0.4122137, 0.39700627, 0.5134199, 0.72130597, 0.6033686, 54.117645, -0.0019916943, 0.8229167, 0.47279167, 0.3087159, 0.22007732, 0.170349, 0.14107466, -0.23315112, -0.5257439, 38, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 1, CosineDistance, 20, 2, 0.27758008, 0.5404157, 0.36677116, 0.34608534, 0.50773036, 0.78174555, 0.5872492, 50.588238, -0.0022068517, 0.8541667, 0.4313381, 0.28383803, 0.2048053, 0.16084471, 0.1351174, -0.22088616, -0.569002, 32, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 1, CosineDistance, 25, 1, 0.35833332, 0.4965358, 0.41626328, 0.46138886, 0.39948496, 0.6951472, 0.46812263, 54.117645, -0.0075390544, 0.875, 0.3616166, 0.21573234, 0.13898073, 0.09774429, 0.074876204, -0.24407592, -0.5676487, 48, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 1, CosineDistance, 25, 2, 0.28455284, 0.56581986, 0.37867078, 0.3937282, 0.31192562, 0.72665685, 0.38138118, 44.70588, -0.0016727202, 0.8020833, 0.32142133, 0.19445884, 0.12851714, 0.0931325, 0.07324888, -0.2168374, -0.6111043, 40, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 1, CosineDistance, 30, 1, 0.4323725, 0.4503464, 0.44117647, 0.5280858, 0.41118136, 0.6609794, 0.46967265, 54.117645, -0.0013680136, 0.8645833, 0.40641767, 0.21205857, 0.11163389, 0.059296418, 0.031778928, -0.2955835, -0.42594185, 57, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 1, CosineDistance, 30, 2, 0.3880597, 0.4803695, 0.4293086, 0.49315917, 0.4589245, 0.72011805, 0.49300113, 54.117645, -0.006075839, 0.8645833, 0.36142752, 0.18367223, 0.09373792, 0.04804039, 0.02472183, -0.25213727, -0.46086428, 48, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 1, CosineDistance, 35, 1, 0.44214877, 0.49422634, 0.46673936, 0.54614335, 0.42393854, 0.66593224, 0.49183106, 52.941177, -0.0010291932, 0.8854167, 0.4299681, 0.24910109, 0.15569341, 0.106371924, 0.07947981, -0.29136994, -0.45789889, 66, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 1, CosineDistance, 35, 2, 0.46854663, 0.49884528, 0.48322147, 0.5885758, 0.43483105, 0.7375007, 0.50808513, 57.64706, -6.308173E-4, 0.90625, 0.3995717, 0.23586695, 0.14964995, 0.10339405, 0.077866994, -0.2880173, -0.5191746, 66, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 1, CosineDistance, 40, 1, 0.41417912, 0.5127021, 0.45820436, 0.5332712, 0.47637013, 0.68463975, 0.54681027, 51.7647, -0.0026629388, 0.8541667, 0.42494717, 0.24417534, 0.15204866, 0.10396098, 0.07797612, -0.2816596, -0.44888288, 75, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 1, CosineDistance, 40, 2, 0.51983297, 0.57505774, 0.54605263, 0.6541404, 0.42088655, 0.7939515, 0.5017396, 62.352943, -0.0031436812, 0.8854167, 0.40573388, 0.24382539, 0.15717907, 0.109626554, 0.08265163, -0.2934179, -0.5284345, 75, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 1, CosineDistance, 45, 1, 0.3962963, 0.49422634, 0.43987668, 0.5243829, 0.40388542, 0.6983851, 0.49620923, 51.7647, -0.0026527904, 0.8958333, 0.4190164, 0.23804958, 0.14716408, 0.10041327, 0.07551275, -0.28489605, -0.43856424, 84, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 1, CosineDistance, 45, 2, 0.509009, 0.52193993, 0.5153934, 0.6265016, 0.53113556, 0.71776104, 0.60191, 62.352943, -0.0019014602, 0.8020833, 0.48687324, 0.2933336, 0.18900712, 0.1307851, 0.09699007, -0.28402278, -0.4378624, 56, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 2, CosineDistance, 5, 1, 0.39205956, 0.36489606, 0.37799045, 0.53680766, 0.44368044, 0.4038861, 0.5368942, 51.7647, -0.05210339, 0.8020833, 0.52087677, 0.27702177, 0.15008476, 0.08264182, 0.046149578, -0.18834077, -0.26888815, 10, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 2, CosineDistance, 5, 2, 0.38287154, 0.35103926, 0.36626506, 0.51889193, 0.43043417, 0.47125366, 0.5407145, 51.7647, -0.04731552, 0.8020833, 0.4714434, 0.24526764, 0.13059004, 0.07103197, 0.039385196, -0.19932364, -0.2952971, 10, 
