Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Closest Centroids Init, Precision, Recall, Fmeasure, AdjustedPrecision, AverageClusterPrecision, AverageClusterRecall, AverageClusterAdjustedPrecision, MojoFM, SilhuetteIndex, NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, IntraSimilarityReg2.0, IntraSimilarityReg3.0, IntraSimilarityReg4.0, IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
82, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.5315315, 0.13028117, 0.20926932, 0.7429123, 0.40723094, 0.22308476, 0.5405914, 54.54545, -0.01103037, 0.65228426, 0.49416035, 0.33651632, 0.23111062, 0.16008314, 0.11183739, -0.35848686, -0.47181872, 1811, 
83, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.5322483, 0.12998675, 0.20894462, 0.743188, 0.4107583, 0.22129263, 0.5447878, 54.278076, -0.0111336615, 0.65228426, 0.49758595, 0.33961275, 0.23369433, 0.162137, 0.113417365, -0.35911024, -0.47277182, 1834, 
84, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.53353477, 0.12998675, 0.20904355, 0.74498427, 0.406662, 0.22129263, 0.53909594, 54.278076, -0.011098742, 0.65228426, 0.49196008, 0.3359426, 0.23126242, 0.16049917, 0.11229602, -0.3595102, -0.4766998, 1855, 
85, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.5338983, 0.12983954, 0.208881, 0.74573183, 0.39011303, 0.18903457, 0.52453697, 54.010696, -0.010163296, 0.65228426, 0.48714006, 0.33321717, 0.2297141, 0.1596117, 0.11177956, -0.36000404, -0.48144338, 1876, 
86, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.5399754, 0.1292507, 0.20857586, 0.75119865, 0.39061555, 0.18888365, 0.5304089, 54.010696, -0.011182598, 0.6319797, 0.48898935, 0.3343171, 0.23041268, 0.16008522, 0.11211786, -0.36224476, -0.47902414, 1898, 
87, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.5464308, 0.12733696, 0.2065425, 0.7612441, 0.3914792, 0.18289445, 0.5319069, 54.54545, -0.011101032, 0.6319797, 0.492022, 0.33698112, 0.23265573, 0.16192386, 0.11359815, -0.36143273, -0.47877076, 1922, 
88, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.5625, 0.12718976, 0.20746788, 0.77722067, 0.38766184, 0.18286037, 0.5321336, 55.08021, -0.011572284, 0.6345178, 0.49455002, 0.33893138, 0.23411165, 0.16298231, 0.11435022, -0.36339, -0.4778519, 1942, 
89, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.56567657, 0.12615928, 0.20630716, 0.77703685, 0.38674235, 0.17354138, 0.5273419, 55.08021, -0.012199834, 0.6294416, 0.48959067, 0.33585092, 0.23214708, 0.16169342, 0.11348017, -0.3645091, -0.4818329, 1964, 
90, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.58502024, 0.12763138, 0.20954682, 0.78147393, 0.38889262, 0.20814332, 0.531565, 56.149734, -0.012569131, 0.61928934, 0.4913868, 0.33679432, 0.23256233, 0.16179691, 0.11341186, -0.3665359, -0.47962406, 1985, 
91, TermFrequencyWeight, 0.0, 0, 2, CosineDistance, 1, 0.5842925, 0.12704255, 0.20870617, 0.78095984, 0.38388646, 0.20800693, 0.52547944, 55.88235, -0.012685946, 0.6040609, 0.48635593, 0.33358204, 0.23049231, 0.16044791, 0.11252093, -0.3670931, -0.48307696, 2006, 
