Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Times Repeated, Precision, Best Precision, Recall, Best Recall, Fmeasure, Best Fmeasure, AdjustedPrecision, Best AdjustedPrecision, AverageClusterPrecision, Best AverageClusterPrecision, AverageClusterRecall, Best AverageClusterRecall, AverageClusterAdjustedPrecision, Best AverageClusterAdjustedPrecision, MojoFM, Best MojoFM, SilhuetteIndex, Best SilhuetteIndex, NonExtremityClusterDistributionL5U100, Best NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, Best IntraSimilarityReg1.0, IntraSimilarityReg2.0, Best IntraSimilarityReg2.0, IntraSimilarityReg3.0, Best IntraSimilarityReg3.0, IntraSimilarityReg4.0, Best IntraSimilarityReg4.0, IntraSimilarityReg5.0, Best IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, Best IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Best AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 0, 1, CosineDistance, 10, 0.51931393, 0.6319928 (2), 0.3421022, 0.48814955 (8), 0.40914083, 0.5003557 (2), 0.73903185, 0.8073015 (2), 0.4272232, 0.455618 (2), 0.38696113, 0.4655543 (8), 0.65523255, 0.699293 (2), 55.240643, 60.42781 (2), -0.011609329, -0.007308762 (7), 0.9332488, 0.964467 (3), 0.5064119, 0.531814 (5), 0.27035505, 0.2906167 (5), 0.14837797, 0.16544037 (6), 0.08410903, 0.10125784 (6), 0.049469598, 0.066010766 (6), -0.19683275, -0.15660526 (8), -0.26162082, -0.23581706 (2), 11184, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 0, 2, CosineDistance, 10, 0.47693872, 0.5276059 (1), 0.27366406, 0.32636538 (1), 0.34631664, 0.40327424 (1), 0.71031207, 0.74475324 (2), 0.41367698, 0.45355234 (9), 0.36208397, 0.46351305 (1), 0.6309854, 0.66464293 (1), 53.101604, 56.417114 (9), -0.011918909, -0.0090419445 (2), 0.9426395, 0.96954316 (4), 0.5007139, 0.51922685 (8), 0.26048097, 0.27830756 (8), 0.1386961, 0.1555027 (8), 0.076022774, 0.09152863 (8), 0.04317933, 0.05725239 (8), -0.19525422, -0.15550224 (10), -0.23629065, -0.19687805 (4), 11844, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 1, 0, CosineDistance, 10, 0.50411385, 0.59434116 (2), 0.32847047, 0.531871 (2), 0.39541528, 0.56137353 (2), 0.7352012, 0.8087537 (2), 0.42088437, 0.50855136 (6), 0.41511235, 0.47050074 (7), 0.65039146, 0.7174365 (10), 53.52941, 57.219254 (10), -0.010817392, -0.004259223 (8), 0.92842644, 0.964467 (6), 0.49928054, 0.51797533 (4), 0.26167873, 0.28637168 (4), 0.1409597, 0.16463087 (4), 0.0785051, 0.09911542 (4), 0.04549106, 0.06288712 (4), -0.20018825, -0.1752831 (7), -0.24510372, -0.22438563 (1), 11313, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 1, 1, CosineDistance, 10, 0.53439087, 0.6145786 (2), 0.3293243, 0.47578388 (6), 0.4060318, 0.5254003 (6), 0.7322475, 0.7808258 (2), 0.38698694, 0.4657627 (6), 0.41724077, 0.49593943 (3), 0.63319653, 0.70798135 (6), 54.14439, 56.95187 (5), -0.009209236, -0.0052205026 (6), 0.9246193, 0.964467 (2), 0.5004154, 0.5496497 (6), 0.2652837, 0.31540856 (6), 0.14513703, 0.19141047 (6), 0.082607955, 0.124397166 (6), 0.049346134, 0.08730274 (6), -0.19979921, -0.18377624 (4), -0.25521478, -0.22150768 (10), 11428, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 1, 2, CosineDistance, 10, 0.5176996, 0.6249223 (4), 0.33028117, 0.49389076 (7), 0.40161997, 0.5445987 (7), 0.738757, 0.80547905 (4), 0.42337108, 0.4597786 (2), 0.3733316, 0.44877294 (9), 0.66321194, 0.70123523 (2), 54.705883, 56.95187 (8), -0.010057379, -0.0067674834 (9), 0.9335025, 0.9517766 (8), 0.5083202, 0.52419424 (7), 0.26820463, 0.2810475 (7), 0.14515656, 0.1578321 (4), 0.08098872, 0.09421526 (4), 0.04682771, 0.059222486 (4), -0.19122003, -0.17772311 (5), -0.24537003, -0.22003147 (1), 10797, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 2, 0, CosineDistance, 10, 0.5293438, 0.62526023 (6), 0.38056824, 0.5305461 (6), 0.44111362, 0.5740225 (6), 0.7347314, 0.793223 (1), 0.40755552, 0.49672127 (8), 0.4413348, 0.51287055 (6), 0.6596023, 0.7260579 (8), 54.27807, 55.88235 (8), -0.010002755, -0.007793095 (2), 0.9124366, 0.96192896 (3), 0.5097889, 0.5274603 (1), 0.27688855, 0.29480228 (8), 0.15596023, 0.17122267 (8), 0.09157574, 0.10446964 (9), 0.056246884, 0.06865925 (9), -0.1931378, -0.1621828 (8), -0.2744973, -0.24545479 (4), 10908, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 2, 1, CosineDistance, 10, 0.51010597, 0.6182425 (7), 0.30197263, 0.4090976 (7), 0.3788219, 0.49238124 (7), 0.7268084, 0.7935959 (2), 0.41287994, 0.46991727 (1), 0.39832872, 0.46747333 (9), 0.6502843, 0.7348193 (9), 54.117645, 58.288773 (1), -0.01041144, -0.006157673 (1), 0.9357867, 0.9568528 (2), 0.5075864, 0.518202 (3), 0.2676046, 0.28585324 (4), 0.14488164, 0.16506262 (4), 0.08100387, 0.10022563 (4), 0.04704076, 0.06430684 (4), -0.19628838, -0.1510063 (8), -0.243292, -0.21526971 (2), 10431, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.25, 2, 2, CosineDistance, 10, 0.4791945, 0.57349193 (7), 0.2746945, 0.36316797 (2), 0.34850466, 0.43220043 (2), 0.7026218, 0.75419474 (7), 0.42968297, 0.46870053 (8), 0.38442746, 0.4406847 (10), 0.6505422, 0.69612974 (8), 53.663105, 56.149734 (1), -0.01026567, -0.0070303846 (7), 0.9350254, 0.9492386 (1), 0.49853134, 0.53161615 (5), 0.26321214, 0.30277643 (5), 0.14353044, 0.17977914 (5), 0.08162048, 0.113198474 (6), 0.048924502, 0.08007911 (6), -0.19206509, -0.17892069 (9), -0.25300714, -0.21913214 (7), 10849, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.5, 0, 0, CosineDistance, 10, 0.44477567, 0.5359922 (5), 0.35984102, 0.47534227 (6), 0.3955031, 0.48813304 (6), 0.6755536, 0.73771864 (5), 0.4025105, 0.4576314 (3), 0.4244287, 0.4913202 (7), 0.6360439, 0.6995359 (3), 51.7647, 55.08021 (10), -0.018107165, -0.010362529 (6), 0.9104061, 0.94162434 (7), 0.52389205, 0.564257 (9), 0.3074507, 0.32780614 (3), 0.18496439, 0.19961967 (5), 0.114328064, 0.13082328 (5), 0.07273178, 0.08940879 (5), -0.16115804, -0.13371474 (1), -0.27316895, -0.2069417 (9), 11848, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.5, 0, 1, CosineDistance, 10, 0.48437065, 0.58480537 (9), 0.38817903, 0.55925214 (8), 0.4284768, 0.55991155 (8), 0.7220321, 0.7747474 (9), 0.44261083, 0.50497454 (4), 0.42530376, 0.5116316 (8), 0.6523885, 0.7175503 (3), 55.02674, 57.75401 (10), -0.016937371, -0.01028944 (1), 0.91446704, 0.92893404 (7), 0.5394354, 0.57376474 (10), 0.316297, 0.34777817 (10), 0.18972807, 0.21622775 (10), 0.116744235, 0.13835444 (10), 0.073881395, 0.091364786 (10), -0.16606073, -0.14422017 (2), -0.25972325, -0.20241378 (3), 10979, 
